"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF","42",0.809,0.809,0.787,0.832
2015,"MUNICIPIO","4200051",0.694,0.694,NA,NA
2015,"MUNICIPIO","4200101",0.696,0.696,NA,NA
2015,"MUNICIPIO","4200200",0.725,0.725,NA,NA
2015,"MUNICIPIO","4200309",0.741,0.741,NA,NA
2015,"MUNICIPIO","4200408",0.698,0.698,NA,NA
2015,"MUNICIPIO","4200507",0.713,0.713,NA,NA
2015,"MUNICIPIO","4200556",0.745,0.745,NA,NA
2015,"MUNICIPIO","4200606",0.723,0.723,NA,NA
2015,"MUNICIPIO","4200705",0.668,0.668,NA,NA
2015,"MUNICIPIO","4200754",0.755,0.755,NA,NA
2015,"MUNICIPIO","4200804",0.699,0.699,NA,NA
2015,"MUNICIPIO","4200903",0.687,0.687,NA,NA
2015,"MUNICIPIO","4201000",0.688,0.688,NA,NA
2015,"MUNICIPIO","4201109",0.674,0.674,NA,NA
2015,"MUNICIPIO","4201208",0.749,0.749,NA,NA
2015,"MUNICIPIO","4201257",0.708,0.708,NA,NA
2015,"MUNICIPIO","4201273",0.733,0.733,NA,NA
2015,"MUNICIPIO","4201307",0.703,0.703,NA,NA
2015,"MUNICIPIO","4201406",0.76,0.76,NA,NA
2015,"MUNICIPIO","4201505",0.77,0.77,NA,NA
2015,"MUNICIPIO","4201604",0.764,0.764,NA,NA
2015,"MUNICIPIO","4201653",0.715,0.715,NA,NA
2015,"MUNICIPIO","4201703",0.742,0.742,NA,NA
2015,"MUNICIPIO","4201802",0.733,0.733,NA,NA
2015,"MUNICIPIO","4201901",0.733,0.733,NA,NA
2015,"MUNICIPIO","4201950",0.746,0.746,NA,NA
2015,"MUNICIPIO","4202057",0.716,0.716,NA,NA
2015,"MUNICIPIO","4202008",0.845,0.845,NA,NA
2015,"MUNICIPIO","4202073",0.728,0.728,NA,NA
2015,"MUNICIPIO","4212809",0.756,0.756,NA,NA
2015,"MUNICIPIO","4202081",0.672,0.672,NA,NA
2015,"MUNICIPIO","4202099",0.701,0.701,NA,NA
2015,"MUNICIPIO","4202107",0.738,0.738,NA,NA
2015,"MUNICIPIO","4202131",0.675,0.675,NA,NA
2015,"MUNICIPIO","4202156",0.705,0.705,NA,NA
2015,"MUNICIPIO","4202206",0.74,0.74,NA,NA
2015,"MUNICIPIO","4202305",0.739,0.739,NA,NA
2015,"MUNICIPIO","4202404",0.806,0.806,NA,NA
2015,"MUNICIPIO","4202438",0.647,0.647,NA,NA
2015,"MUNICIPIO","4202503",0.696,0.696,NA,NA
2015,"MUNICIPIO","4202537",0.718,0.718,NA,NA
2015,"MUNICIPIO","4202578",0.712,0.712,NA,NA
2015,"MUNICIPIO","4202602",0.699,0.699,NA,NA
2015,"MUNICIPIO","4202453",0.781,0.781,NA,NA
2015,"MUNICIPIO","4202701",0.724,0.724,NA,NA
2015,"MUNICIPIO","4202800",0.778,0.778,NA,NA
2015,"MUNICIPIO","4202859",0.78,0.78,NA,NA
2015,"MUNICIPIO","4202875",0.661,0.661,NA,NA
2015,"MUNICIPIO","4202909",0.795,0.795,NA,NA
2015,"MUNICIPIO","4203006",0.735,0.735,NA,NA
2015,"MUNICIPIO","4203105",0.728,0.728,NA,NA
2015,"MUNICIPIO","4203154",0.622,0.622,NA,NA
2015,"MUNICIPIO","4203204",0.726,0.726,NA,NA
2015,"MUNICIPIO","4203303",0.714,0.714,NA,NA
2015,"MUNICIPIO","4203402",0.641,0.641,NA,NA
2015,"MUNICIPIO","4203501",0.69,0.69,NA,NA
2015,"MUNICIPIO","4203600",0.742,0.742,NA,NA
2015,"MUNICIPIO","4203709",0.697,0.697,NA,NA
2015,"MUNICIPIO","4203808",0.757,0.757,NA,NA
2015,"MUNICIPIO","4203253",0.654,0.654,NA,NA
2015,"MUNICIPIO","4203907",0.752,0.752,NA,NA
2015,"MUNICIPIO","4203956",0.767,0.767,NA,NA
2015,"MUNICIPIO","4204004",0.714,0.714,NA,NA
2015,"MUNICIPIO","4204103",0.691,0.691,NA,NA
2015,"MUNICIPIO","4204152",0.719,0.719,NA,NA
2015,"MUNICIPIO","4204178",0.621,0.621,NA,NA
2015,"MUNICIPIO","4204194",0.704,0.704,NA,NA
2015,"MUNICIPIO","4204202",0.79,0.79,NA,NA
2015,"MUNICIPIO","4204251",0.78,0.78,NA,NA
2015,"MUNICIPIO","4204301",0.8,0.8,NA,NA
2015,"MUNICIPIO","4204350",0.747,0.747,NA,NA
2015,"MUNICIPIO","4204400",0.744,0.744,NA,NA
2015,"MUNICIPIO","4204459",0.696,0.696,NA,NA
2015,"MUNICIPIO","4204558",0.702,0.702,NA,NA
2015,"MUNICIPIO","4204509",0.78,0.78,NA,NA
2015,"MUNICIPIO","4204608",0.788,0.788,NA,NA
2015,"MUNICIPIO","4204707",0.742,0.742,NA,NA
2015,"MUNICIPIO","4204756",0.754,0.754,NA,NA
2015,"MUNICIPIO","4204806",0.721,0.721,NA,NA
2015,"MUNICIPIO","4204905",0.743,0.743,NA,NA
2015,"MUNICIPIO","4205001",0.706,0.706,NA,NA
2015,"MUNICIPIO","4205100",0.742,0.742,NA,NA
2015,"MUNICIPIO","4205159",0.716,0.716,NA,NA
2015,"MUNICIPIO","4205175",0.657,0.657,NA,NA
2015,"MUNICIPIO","4205191",0.726,0.726,NA,NA
2015,"MUNICIPIO","4205209",0.723,0.723,NA,NA
2015,"MUNICIPIO","4205308",0.758,0.758,NA,NA
2015,"MUNICIPIO","4205357",0.708,0.708,NA,NA
2015,"MUNICIPIO","4205407",0.847,0.847,NA,NA
2015,"MUNICIPIO","4205431",0.715,0.715,NA,NA
2015,"MUNICIPIO","4205456",0.753,0.753,NA,NA
2015,"MUNICIPIO","4205506",0.731,0.731,NA,NA
2015,"MUNICIPIO","4205555",0.682,0.682,NA,NA
2015,"MUNICIPIO","4205605",0.708,0.708,NA,NA
2015,"MUNICIPIO","4205704",0.753,0.753,NA,NA
2015,"MUNICIPIO","4205803",0.725,0.725,NA,NA
2015,"MUNICIPIO","4205902",0.765,0.765,NA,NA
2015,"MUNICIPIO","4206009",0.747,0.747,NA,NA
2015,"MUNICIPIO","4206108",0.736,0.736,NA,NA
2015,"MUNICIPIO","4206207",0.757,0.757,NA,NA
2015,"MUNICIPIO","4206306",0.754,0.754,NA,NA
2015,"MUNICIPIO","4206405",0.751,0.751,NA,NA
2015,"MUNICIPIO","4206504",0.751,0.751,NA,NA
2015,"MUNICIPIO","4206603",0.73,0.73,NA,NA
2015,"MUNICIPIO","4206652",0.717,0.717,NA,NA
2015,"MUNICIPIO","4206702",0.758,0.758,NA,NA
2015,"MUNICIPIO","4206751",0.725,0.725,NA,NA
2015,"MUNICIPIO","4206801",0.708,0.708,NA,NA
2015,"MUNICIPIO","4206900",0.737,0.737,NA,NA
2015,"MUNICIPIO","4207007",0.741,0.741,NA,NA
2015,"MUNICIPIO","4207106",0.738,0.738,NA,NA
2015,"MUNICIPIO","4207205",0.667,0.667,NA,NA
2015,"MUNICIPIO","4207304",0.765,0.765,NA,NA
2015,"MUNICIPIO","4207403",0.713,0.713,NA,NA
2015,"MUNICIPIO","4207502",0.777,0.777,NA,NA
2015,"MUNICIPIO","4207577",0.795,0.795,NA,NA
2015,"MUNICIPIO","4207601",0.736,0.736,NA,NA
2015,"MUNICIPIO","4207650",0.759,0.759,NA,NA
2015,"MUNICIPIO","4207684",0.66,0.66,NA,NA
2015,"MUNICIPIO","4207700",0.738,0.738,NA,NA
2015,"MUNICIPIO","4207759",0.722,0.722,NA,NA
2015,"MUNICIPIO","4207809",0.742,0.742,NA,NA
2015,"MUNICIPIO","4207858",0.707,0.707,NA,NA
2015,"MUNICIPIO","4207908",0.699,0.699,NA,NA
2015,"MUNICIPIO","4208005",0.771,0.771,NA,NA
2015,"MUNICIPIO","4208104",0.708,0.708,NA,NA
2015,"MUNICIPIO","4208203",0.795,0.795,NA,NA
2015,"MUNICIPIO","4208302",0.796,0.796,NA,NA
2015,"MUNICIPIO","4208401",0.775,0.775,NA,NA
2015,"MUNICIPIO","4208450",0.761,0.761,NA,NA
2015,"MUNICIPIO","4208500",0.748,0.748,NA,NA
2015,"MUNICIPIO","4208609",0.732,0.732,NA,NA
2015,"MUNICIPIO","4208708",0.716,0.716,NA,NA
2015,"MUNICIPIO","4208807",0.721,0.721,NA,NA
2015,"MUNICIPIO","4208906",0.803,0.803,NA,NA
2015,"MUNICIPIO","4208955",0.709,0.709,NA,NA
2015,"MUNICIPIO","4209003",0.827,0.827,NA,NA
2015,"MUNICIPIO","4209102",0.809,0.809,NA,NA
2015,"MUNICIPIO","4209151",0.694,0.694,NA,NA
2015,"MUNICIPIO","4209177",0.719,0.719,NA,NA
2015,"MUNICIPIO","4209201",0.781,0.781,NA,NA
2015,"MUNICIPIO","4209300",0.77,0.77,NA,NA
2015,"MUNICIPIO","4209409",0.752,0.752,NA,NA
2015,"MUNICIPIO","4209458",0.771,0.771,NA,NA
2015,"MUNICIPIO","4209508",0.749,0.749,NA,NA
2015,"MUNICIPIO","4209607",0.735,0.735,NA,NA
2015,"MUNICIPIO","4209706",0.649,0.649,NA,NA
2015,"MUNICIPIO","4209805",0.686,0.686,NA,NA
2015,"MUNICIPIO","4209854",0.743,0.743,NA,NA
2015,"MUNICIPIO","4209904",0.704,0.704,NA,NA
2015,"MUNICIPIO","4210001",0.737,0.737,NA,NA
2015,"MUNICIPIO","4210035",0.789,0.789,NA,NA
2015,"MUNICIPIO","4210050",0.662,0.662,NA,NA
2015,"MUNICIPIO","4210100",0.777,0.777,NA,NA
2015,"MUNICIPIO","4210209",0.698,0.698,NA,NA
2015,"MUNICIPIO","4210308",0.69,0.69,NA,NA
2015,"MUNICIPIO","4210407",0.768,0.768,NA,NA
2015,"MUNICIPIO","4210506",0.781,0.781,NA,NA
2015,"MUNICIPIO","4210555",0.743,0.743,NA,NA
2015,"MUNICIPIO","4210605",0.774,0.774,NA,NA
2015,"MUNICIPIO","4210704",0.657,0.657,NA,NA
2015,"MUNICIPIO","4210803",0.738,0.738,NA,NA
2015,"MUNICIPIO","4210852",0.708,0.708,NA,NA
2015,"MUNICIPIO","4210902",0.76,0.76,NA,NA
2015,"MUNICIPIO","4211009",0.748,0.748,NA,NA
2015,"MUNICIPIO","4211058",0.643,0.643,NA,NA
2015,"MUNICIPIO","4211108",0.675,0.675,NA,NA
2015,"MUNICIPIO","4211207",0.738,0.738,NA,NA
2015,"MUNICIPIO","4211256",0.701,0.701,NA,NA
2015,"MUNICIPIO","4211306",0.736,0.736,NA,NA
2015,"MUNICIPIO","4211405",0.765,0.765,NA,NA
2015,"MUNICIPIO","4211454",0.736,0.736,NA,NA
2015,"MUNICIPIO","4211504",0.748,0.748,NA,NA
2015,"MUNICIPIO","4211603",0.768,0.768,NA,NA
2015,"MUNICIPIO","4211652",0.706,0.706,NA,NA
2015,"MUNICIPIO","4211702",0.755,0.755,NA,NA
2015,"MUNICIPIO","4211751",0.74,0.74,NA,NA
2015,"MUNICIPIO","4211801",0.774,0.774,NA,NA
2015,"MUNICIPIO","4211850",0.695,0.695,NA,NA
2015,"MUNICIPIO","4211876",0.718,0.718,NA,NA
2015,"MUNICIPIO","4211892",0.664,0.664,NA,NA
2015,"MUNICIPIO","4211900",0.757,0.757,NA,NA
2015,"MUNICIPIO","4212007",0.704,0.704,NA,NA
2015,"MUNICIPIO","4212056",0.671,0.671,NA,NA
2015,"MUNICIPIO","4212106",0.737,0.737,NA,NA
2015,"MUNICIPIO","4212205",0.704,0.704,NA,NA
2015,"MUNICIPIO","4212239",0.7,0.7,NA,NA
2015,"MUNICIPIO","4212254",0.72,0.72,NA,NA
2015,"MUNICIPIO","4212270",0.659,0.659,NA,NA
2015,"MUNICIPIO","4212304",0.716,0.716,NA,NA
2015,"MUNICIPIO","4212403",0.728,0.728,NA,NA
2015,"MUNICIPIO","4212502",0.743,0.743,NA,NA
2015,"MUNICIPIO","4212601",0.766,0.766,NA,NA
2015,"MUNICIPIO","4212700",0.716,0.716,NA,NA
2015,"MUNICIPIO","4212908",0.783,0.783,NA,NA
2015,"MUNICIPIO","4213005",0.777,0.777,NA,NA
2015,"MUNICIPIO","4213104",0.758,0.758,NA,NA
2015,"MUNICIPIO","4213153",0.751,0.751,NA,NA
2015,"MUNICIPIO","4213203",0.78,0.78,NA,NA
2015,"MUNICIPIO","4213302",0.673,0.673,NA,NA
2015,"MUNICIPIO","4213351",0.689,0.689,NA,NA
2015,"MUNICIPIO","4213401",0.693,0.693,NA,NA
2015,"MUNICIPIO","4213500",0.76,0.76,NA,NA
2015,"MUNICIPIO","4213609",0.786,0.786,NA,NA
2015,"MUNICIPIO","4213708",0.72,0.72,NA,NA
2015,"MUNICIPIO","4213807",0.718,0.718,NA,NA
2015,"MUNICIPIO","4213906",0.77,0.77,NA,NA
2015,"MUNICIPIO","4214003",0.759,0.759,NA,NA
2015,"MUNICIPIO","4214102",0.737,0.737,NA,NA
2015,"MUNICIPIO","4214151",0.706,0.706,NA,NA
2015,"MUNICIPIO","4214201",0.73,0.73,NA,NA
2015,"MUNICIPIO","4214300",0.753,0.753,NA,NA
2015,"MUNICIPIO","4214409",0.697,0.697,NA,NA
2015,"MUNICIPIO","4214508",0.729,0.729,NA,NA
2015,"MUNICIPIO","4214607",0.754,0.754,NA,NA
2015,"MUNICIPIO","4214805",0.802,0.802,NA,NA
2015,"MUNICIPIO","4214706",0.729,0.729,NA,NA
2015,"MUNICIPIO","4214904",0.806,0.806,NA,NA
2015,"MUNICIPIO","4215000",0.738,0.738,NA,NA
2015,"MUNICIPIO","4215059",0.653,0.653,NA,NA
2015,"MUNICIPIO","4215075",0.714,0.714,NA,NA
2015,"MUNICIPIO","4215109",0.754,0.754,NA,NA
2015,"MUNICIPIO","4215208",0.692,0.692,NA,NA
2015,"MUNICIPIO","4215307",0.744,0.744,NA,NA
2015,"MUNICIPIO","4215356",0.654,0.654,NA,NA
2015,"MUNICIPIO","4215406",0.784,0.784,NA,NA
2015,"MUNICIPIO","4215455",0.7,0.7,NA,NA
