"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",11,"1768204",1562409,795157,767252,NA,NA,NA,NA,NA,NA
2015,"UF",12,"803513",733559,368324,365235,NA,NA,NA,NA,NA,NA
2015,"UF",13,"3938336",3483985,1753179,1730806,NA,NA,NA,NA,NA,NA
2015,"UF",14,"505665",450479,228859,221620,NA,NA,NA,NA,NA,NA
2015,"UF",15,"8175113",7581051,3821837,3759214,NA,NA,NA,NA,NA,NA
2015,"UF",16,"766679",669526,335135,334391,NA,NA,NA,NA,NA,NA
2015,"UF",17,"1515126",1383445,702424,681021,NA,NA,NA,NA,NA,NA
2015,"UF",21,"6904241",6574789,3261515,3313274,NA,NA,NA,NA,NA,NA
2015,"UF",22,"3204028",3118360,1528422,1589938,NA,NA,NA,NA,NA,NA
2015,"UF",23,"8904459",8452381,4120088,4332293,NA,NA,NA,NA,NA,NA
2015,"UF",24,"3442175",3168027,1548887,1619140,NA,NA,NA,NA,NA,NA
2015,"UF",25,"3972202",3766528,1824379,1942149,NA,NA,NA,NA,NA,NA
2015,"UF",26,"9345173",8796448,4230681,4565767,NA,NA,NA,NA,NA,NA
2015,"UF",27,"3340932",3120494,1511767,1608727,NA,NA,NA,NA,NA,NA
2015,"UF",28,"2242937",2068017,1005041,1062976,NA,NA,NA,NA,NA,NA
2015,"UF",29,"15203334",14016906,6878266,7138640,NA,NA,NA,NA,NA,NA
2015,"UF",31,"20869101",19597330,9641877,9955453,NA,NA,NA,NA,NA,NA
2015,"UF",32,"3929911",3514952,1731218,1783734,NA,NA,NA,NA,NA,NA
2015,"UF",33,"16550024",15989929,7625679,8364250,NA,NA,NA,NA,NA,NA
2015,"UF",35,"44396484",41262199,20077873,21184326,NA,NA,NA,NA,NA,NA
2015,"UF",41,"11163018",10444526,5130994,5313532,NA,NA,NA,NA,NA,NA
2015,"UF",42,"6819190",6248436,3100360,3148076,NA,NA,NA,NA,NA,NA
2015,"UF",43,"11247972",10693929,5205057,5488872,NA,NA,NA,NA,NA,NA
2015,"UF",50,"2651235",2449024,1219928,1229096,NA,NA,NA,NA,NA,NA
2015,"UF",51,"3265486",3035122,1549536,1485586,NA,NA,NA,NA,NA,NA
2015,"UF",52,"6610681",6003788,2981627,3022161,NA,NA,NA,NA,NA,NA
2015,"UF",53,"2914830",2570160,1228880,1341280,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO",1100015,"25578",24392,12656,11736,20083,13823,4153,9639,6715,1890
2015,"MUNICIPIO",1100023,"104401",90353,45543,44810,73821,52550,12985,36667,26364,6194
2015,"MUNICIPIO",1100031,"6355",6313,3266,3047,5202,3366,1329,2489,1634,601
2015,"MUNICIPIO",1100049,"87226",78574,39124,39450,65292,45798,13219,32882,23217,6593
2015,"MUNICIPIO",1100056,"17986",17029,8551,8478,14158,9656,3145,7074,4889,1528
2015,"MUNICIPIO",1100064,"18817",18591,9330,9261,15567,10329,3817,7778,5193,1883
2015,"MUNICIPIO",1100072,"8842",8783,4711,4072,7248,4995,1502,3346,2329,662
2015,"MUNICIPIO",1100080,"16651",13678,7202,6476,10598,7276,1796,4965,3413,797
2015,"MUNICIPIO",1100098,"32385",28729,14606,14123,23506,16309,4720,11548,8031,2275
2015,"MUNICIPIO",1100106,"46632",41656,20947,20709,32928,22575,5890,16434,11268,2955
2015,"MUNICIPIO",1100114,"55738",52005,26005,26000,42810,29844,8333,21356,14932,4106
2015,"MUNICIPIO",1100122,"130419",116610,57824,58786,96661,68141,18734,48986,34691,9509
2015,"MUNICIPIO",1100130,"37167",31135,16536,14599,24865,17025,4704,11552,8127,1968
2015,"MUNICIPIO",1100148,"21592",19874,10344,9530,16352,11228,3401,7830,5391,1574
2015,"MUNICIPIO",1100155,"39924",37928,18698,19230,31425,21749,6502,15968,11074,3306
2015,"MUNICIPIO",1100189,"37512",33822,17041,16781,27914,19615,5403,13904,9852,2634
2015,"MUNICIPIO",1100205,"502748",428527,217618,210909,351604,257722,57091,173085,126653,28290
2015,"MUNICIPIO",1100254,"22557",22319,11309,11010,18657,12227,4570,9245,6090,2220
2015,"MUNICIPIO",1100262,"3750",3316,1767,1549,2696,1788,590,1251,862,244
2015,"MUNICIPIO",1100288,"56242",50648,25170,25478,42132,29584,8281,21264,15079,4123
2015,"MUNICIPIO",1100296,"8532",8886,4596,4290,7391,5034,1676,3591,2460,808
2015,"MUNICIPIO",1100304,"91801",76202,37782,38420,62663,44825,11242,31661,22796,5669
2015,"MUNICIPIO",1100320,"23933",21828,11328,10500,17622,12285,3249,8423,5965,1459
2015,"MUNICIPIO",1100338,"27600",22546,11735,10811,17776,12262,2996,8448,5923,1295
2015,"MUNICIPIO",1100346,"17063",16853,8678,8175,13838,9270,3084,6727,4569,1425
2015,"MUNICIPIO",1100379,"13940",12816,6739,6077,10343,7091,1960,4898,3358,887
2015,"MUNICIPIO",1100403,"20210",17135,9022,8113,13748,9323,2705,6449,4407,1202
2015,"MUNICIPIO",1100452,"37838",32383,16741,15642,25938,18228,4375,12460,8892,1902
2015,"MUNICIPIO",1100502,"10276",10240,5336,4904,8448,5656,1948,4011,2734,880
2015,"MUNICIPIO",1100601,"6367",5736,2965,2771,4637,3070,1001,2220,1500,427
2015,"MUNICIPIO",1100700,"14220",12665,6768,5897,10089,6900,1823,4615,3218,732
2015,"MUNICIPIO",1100809,"24155",19779,10320,9459,15650,10686,2891,7410,5192,1220
2015,"MUNICIPIO",1100908,"3617",3575,1829,1746,2960,1928,731,1435,940,340
2015,"MUNICIPIO",1100924,"10129",8301,4415,3886,6615,4732,1059,3064,2240,423
2015,"MUNICIPIO",1100940,"20974",15854,8456,7398,12500,8810,1920,5779,4156,768
2015,"MUNICIPIO",1101005,"10127",10512,5470,5042,8560,5717,1825,4085,2722,843
2015,"MUNICIPIO",1101104,"9995",8566,4565,4001,6728,4495,1387,3150,2164,579
2015,"MUNICIPIO",1101203,"10823",10352,5304,5048,8368,5719,1697,4061,2809,799
2015,"MUNICIPIO",1101302,"12360",11878,6049,5829,9715,6407,2132,4736,3144,1007
2015,"MUNICIPIO",1101401,"15873",14091,7408,6683,11287,7514,2319,5359,3646,1014
2015,"MUNICIPIO",1101435,"7824",7493,3999,3494,6064,4161,1226,2845,1986,554
2015,"MUNICIPIO",1101450,"5697",4810,2595,2215,3871,2683,730,1782,1253,299
2015,"MUNICIPIO",1101468,"2424",2315,1218,1097,1832,1226,372,861,600,151
2015,"MUNICIPIO",1101476,"3501",3524,1856,1668,2877,1876,688,1346,891,309
2015,"MUNICIPIO",1101484,"6103",6018,3086,2932,5017,3279,1241,2431,1625,556
2015,"MUNICIPIO",1101492,"19002",16035,8415,7620,12746,8904,2237,6020,4293,975
2015,"MUNICIPIO",1101500,"12581",11629,6087,5542,9405,6458,1756,4455,3114,776
2015,"MUNICIPIO",1101559,"5003",4888,2540,2348,4030,2699,934,1917,1288,436
2015,"MUNICIPIO",1101609,"11347",10649,5653,4996,8633,5738,1881,4032,2694,824
2015,"MUNICIPIO",1101708,"13293",12974,6731,6243,10672,7067,2452,5146,3456,1144
2015,"MUNICIPIO",1101757,"10843",9384,4979,4405,7566,5002,1626,3569,2414,684
2015,"MUNICIPIO",1101807,"8231",8210,4244,3966,6733,4545,1489,3263,2218,684
2015,"MUNICIPIO",1200013,"13869",12538,6592,5946,9657,6494,1751,4562,3142,723
2015,"MUNICIPIO",1200054,"6738",6072,3091,2981,4606,3131,751,2244,1541,342
2015,"MUNICIPIO",1200104,"23849",21398,11037,10361,16866,11526,3042,8155,5634,1407
2015,"MUNICIPIO",1200138,"9339",8471,4569,3902,6528,4273,1280,3008,2012,539
