"ANO","NIVEL","CODMUNRES","TO","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT"
2015,"UF","42",37984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","420000",23,0,14,9,0,1,2,1,20,2,0,0,0,0,0,0
2015,"MUNICIPIO","420005",11,0,2,9,0,2,1,2,5,6,0,0,0,0,0,1
2015,"MUNICIPIO","420010",88,0,10,78,4,20,18,15,48,40,0,0,0,0,0,2
2015,"MUNICIPIO","420020",66,0,5,61,2,14,27,7,39,27,0,0,1,1,0,4
2015,"MUNICIPIO","420030",21,0,0,21,0,4,5,5,12,9,0,0,0,0,0,0
2015,"MUNICIPIO","420040",40,0,7,33,1,6,11,6,25,15,0,0,0,0,0,0
2015,"MUNICIPIO","420050",37,0,3,34,0,14,7,4,21,16,0,0,0,0,0,0
2015,"MUNICIPIO","420055",14,0,0,14,0,3,5,2,8,6,0,0,0,0,0,1
2015,"MUNICIPIO","420060",49,0,4,45,2,9,15,8,29,20,0,0,0,0,0,0
2015,"MUNICIPIO","420070",63,0,12,51,0,13,12,7,36,27,0,0,0,0,0,0
2015,"MUNICIPIO","420075",9,0,0,9,0,2,6,1,2,7,0,0,0,0,0,0
2015,"MUNICIPIO","420080",36,0,3,33,2,6,14,6,21,15,0,0,0,0,0,1
2015,"MUNICIPIO","420090",43,0,4,39,0,11,11,4,27,16,0,0,0,0,0,0
2015,"MUNICIPIO","420100",67,0,6,61,2,14,23,9,40,27,0,0,0,0,0,2
2015,"MUNICIPIO","420110",27,0,2,25,0,5,7,5,16,11,0,0,0,0,0,0
2015,"MUNICIPIO","420120",35,0,2,33,3,9,13,3,19,16,0,0,0,0,0,0
2015,"MUNICIPIO","420125",62,0,8,54,6,10,11,8,38,24,0,0,0,0,0,5
2015,"MUNICIPIO","420127",39,0,4,35,2,5,8,6,23,16,0,0,0,0,0,0
2015,"MUNICIPIO","420130",122,0,26,96,10,16,24,12,90,32,0,0,0,0,0,0
2015,"MUNICIPIO","420140",394,0,36,358,15,80,123,57,237,157,0,0,0,0,0,7
2015,"MUNICIPIO","420150",41,0,7,34,0,4,13,8,24,17,0,0,0,0,0,1
2015,"MUNICIPIO","420160",21,0,1,20,3,5,5,0,11,10,0,0,0,0,0,0
2015,"MUNICIPIO","420165",9,0,1,8,0,3,1,0,6,3,0,0,0,0,0,0
2015,"MUNICIPIO","420170",68,0,11,57,3,11,23,2,37,31,0,0,0,0,0,0
2015,"MUNICIPIO","420180",29,0,3,26,3,3,7,7,14,15,0,0,0,0,0,0
2015,"MUNICIPIO","420190",38,0,2,36,1,8,16,8,23,15,0,0,0,0,0,0
2015,"MUNICIPIO","420195",85,0,6,79,4,17,36,6,50,35,0,0,0,0,0,2
2015,"MUNICIPIO","420200",630,0,77,553,35,156,164,64,340,290,1,0,0,0,0,10
2015,"MUNICIPIO","420205",70,0,9,61,3,14,20,9,48,22,0,0,0,0,0,1
2015,"MUNICIPIO","420207",65,0,4,61,3,8,26,6,47,18,1,0,0,0,0,1
2015,"MUNICIPIO","420208",19,0,1,18,0,4,9,2,9,10,0,0,0,0,0,1
2015,"MUNICIPIO","420209",15,0,1,14,1,6,4,1,9,6,0,0,0,0,0,0
2015,"MUNICIPIO","420210",145,0,19,126,6,30,33,16,89,56,0,0,0,0,0,2
2015,"MUNICIPIO","420213",34,0,0,34,1,5,14,4,21,13,0,0,0,0,0,0
2015,"MUNICIPIO","420215",19,0,2,17,0,6,5,1,12,7,0,0,0,0,0,0
2015,"MUNICIPIO","420220",80,0,6,74,0,17,23,12,44,36,0,0,0,0,0,0
2015,"MUNICIPIO","420230",326,0,40,286,8,81,119,28,196,130,2,0,1,0,1,8
2015,"MUNICIPIO","420240",1799,0,182,1617,78,452,394,248,985,814,2,0,3,2,1,42
2015,"MUNICIPIO","420243",16,0,1,15,0,3,5,3,10,6,0,0,0,0,0,0
2015,"MUNICIPIO","420245",77,0,12,65,0,22,19,9,48,29,0,0,0,0,0,2
2015,"MUNICIPIO","420250",21,0,2,19,0,2,7,7,11,10,0,0,0,0,0,0
2015,"MUNICIPIO","420253",14,0,2,12,2,4,3,0,4,10,0,0,0,0,0,0
2015,"MUNICIPIO","420257",9,0,2,7,0,1,4,1,6,3,0,0,0,0,0,0
2015,"MUNICIPIO","420260",71,0,12,59,3,16,19,8,47,24,1,0,0,0,0,3
2015,"MUNICIPIO","420270",25,0,2,23,0,8,5,6,15,10,0,0,0,0,0,0
2015,"MUNICIPIO","420280",150,0,22,128,2,31,43,13,92,58,0,0,0,0,0,3
2015,"MUNICIPIO","420285",33,0,2,31,1,6,15,1,20,13,0,0,0,0,0,0
2015,"MUNICIPIO","420287",19,0,0,19,1,4,5,4,5,14,0,0,0,0,0,0
2015,"MUNICIPIO","420290",616,0,60,556,19,147,157,66,343,273,0,0,1,1,0,12
2015,"MUNICIPIO","420300",438,0,37,401,14,79,100,73,220,218,1,0,3,2,1,9
2015,"MUNICIPIO","420310",46,0,5,41,0,14,11,5,21,25,0,0,0,0,0,0
2015,"MUNICIPIO","420315",17,0,1,16,0,1,3,4,6,11,0,0,1,0,1,0
2015,"MUNICIPIO","420320",360,0,55,305,17,60,80,36,233,127,0,0,0,0,0,19
2015,"MUNICIPIO","420325",27,0,6,21,1,6,6,4,21,6,0,0,0,0,0,1
2015,"MUNICIPIO","420330",87,0,9,78,1,16,31,6,52,35,0,0,0,0,0,0
2015,"MUNICIPIO","420340",45,0,3,42,0,11,14,4,27,18,0,0,0,0,0,2
2015,"MUNICIPIO","420350",71,0,13,58,1,14,21,7,38,33,0,0,0,0,0,5
2015,"MUNICIPIO","420360",228,0,25,203,6,41,64,28,124,104,1,0,0,0,0,7
2015,"MUNICIPIO","420370",65,0,7,58,2,18,18,6,34,31,0,0,1,1,0,0
2015,"MUNICIPIO","420380",343,0,24,319,3,83,91,36,185,158,0,0,0,0,0,10
2015,"MUNICIPIO","420390",95,0,6,89,3,26,22,15,53,42,0,0,0,0,0,3
2015,"MUNICIPIO","420395",154,0,14,140,8,31,41,22,85,69,0,0,0,0,0,4
2015,"MUNICIPIO","420400",58,0,10,48,2,10,16,6,28,30,0,0,0,0,0,2
2015,"MUNICIPIO","420410",26,0,5,21,0,7,5,2,19,7,0,0,0,0,0,1
2015,"MUNICIPIO","420415",12,0,2,10,0,4,4,1,10,2,0,0,0,0,0,0
2015,"MUNICIPIO","420417",23,0,0,23,2,6,5,4,11,12,0,0,0,0,0,1
2015,"MUNICIPIO","420419",23,0,2,21,1,7,3,2,12,11,0,0,0,0,0,2
2015,"MUNICIPIO","420420",898,0,124,774,37,195,210,101,534,364,3,0,2,0,2,30
2015,"MUNICIPIO","420425",79,0,9,70,3,16,27,11,47,32,1,0,0,0,0,3
2015,"MUNICIPIO","420430",402,0,41,361,13,103,100,44,230,172,0,0,0,0,0,6
2015,"MUNICIPIO","420435",27,0,7,20,2,7,6,3,17,10,0,0,0,0,0,0
2015,"MUNICIPIO","420440",57,0,5,52,1,13,15,12,29,28,0,0,0,0,0,0
2015,"MUNICIPIO","420445",22,0,2,20,0,4,8,3,13,9,0,0,0,0,0,0
2015,"MUNICIPIO","420450",101,0,14,87,4,19,31,10,61,40,0,0,0,0,0,2
2015,"MUNICIPIO","420455",113,0,16,97,4,19,31,21,56,57,1,0,0,0,0,4
2015,"MUNICIPIO","420460",1093,0,133,960,51,235,347,150,616,477,6,0,5,0,5,21
2015,"MUNICIPIO","420470",80,0,7,73,1,17,30,16,44,36,0,0,0,0,0,1
2015,"MUNICIPIO","420475",13,0,2,11,0,1,7,1,7,6,0,0,0,0,0,1
2015,"MUNICIPIO","420480",308,0,22,286,13,59,57,29,170,138,0,0,0,0,0,6
2015,"MUNICIPIO","420490",59,0,6,53,0,11,18,4,24,35,0,0,0,0,0,1
2015,"MUNICIPIO","420500",119,0,5,114,3,22,37,15,58,61,0,0,0,0,0,5
2015,"MUNICIPIO","420510",14,0,2,12,0,0,4,1,10,4,0,0,0,0,0,0
