"MUNIC","TN","TGI_15_19"
"42",97223,NA
"420000",2,0
"420005",27,6
"420010",290,69
"420020",166,27
"420030",53,8
"420040",103,25
"420050",77,14
"420055",38,4
"420060",65,7
"420070",122,25
"420075",13,0
"420080",63,10
"420090",47,8
"420100",97,18
"420110",30,6
"420120",123,10
"420125",127,22
"420127",44,4
"420130",549,84
"420140",942,119
"420150",124,20
"420160",26,3
"420165",25,4
"420170",99,19
"420180",48,5
"420190",72,10
"420195",166,21
"420200",1607,160
"420205",134,24
"420207",130,14
"420208",40,6
"420209",14,5
"420210",475,81
"420213",53,9
"420215",26,1
"420220",119,11
"420230",992,152
"420240",4511,493
"420243",59,14
"420245",277,42
"420250",45,12
"420253",36,9
"420257",23,3
"420260",151,42
"420270",65,3
"420280",495,67
"420285",47,10
"420287",23,4
"420290",1730,200
"420300",1202,248
"420310",71,11
"420315",69,16
"420320",1322,232
"420325",22,4
"420330",141,27
"420340",70,15
"420350",163,35
"420360",502,109
"420370",117,25
"420380",882,142
"420390",306,49
"420395",354,47
"420400",134,18
"420410",70,19
"420415",35,4
"420417",49,13
"420419",41,4
"420420",3449,441
"420425",212,21
"420430",1055,128
"420435",41,5
"420440",97,20
"420445",15,3
"420450",215,26
"420455",196,49
"420460",2925,389
"420470",138,22
"420475",24,3
"420480",632,128
"420490",94,5
"420500",251,35
"420510",58,11
"420515",28,4
"420517",55,13
"420519",27,1
"420520",57,13
"420530",130,23
"420535",16,3
"420540",6135,601
"420543",19,3
"420545",386,56
"420550",587,130
"420555",32,4
"420560",36,9
"420570",258,30
"420580",267,38
"420590",901,109
"420600",159,23
"420610",80,8
"420620",125,23
"420630",250,28
"420640",112,14
"420650",630,88
"420660",58,4
"420665",89,15
"420670",298,51
"420675",20,2
"420680",39,5
"420690",240,37
"420700",795,109
"420710",197,27
"420720",109,19
"420730",523,73
"420740",100,9
"420750",822,110
"420757",26,2
"420760",40,4
"420765",89,10
"420768",188,53
"420770",114,13
"420775",41,12
"420780",148,22
"420785",22,6
"420790",135,26
"420800",70,11
"420810",315,64
"420820",3571,473
"420830",834,125
"420840",219,23
"420845",290,45
"420850",400,46
"420860",57,10
"420870",94,13
"420880",234,37
"420890",2519,258
"420895",15,4
"420900",406,48
"420910",8402,971
"420915",108,26
"420917",20,2
"420920",33,4
"420930",2428,409
"420940",502,87
"420945",21,4
"420950",106,18
"420960",201,22
"420970",185,55
"420980",43,5
"420985",60,12
"420990",147,19
"421000",158,20
"421003",74,8
"421005",18,6
"421010",777,113
"421020",40,10
"421030",97,17
"421040",107,14
"421050",373,40
"421055",26,5
"421060",203,19
"421070",29,11
"421080",72,6
"421085",28,9
"421090",41,8
"421100",123,15
"421105",162,48
"421110",131,29
"421120",249,42
"421125",34,3
"421130",1452,253
"421140",54,6
"421145",43,4
"421150",174,13
"421160",194,20
"421165",19,7
"421170",275,41
"421175",247,43
"421180",62,4
"421185",24,5
"421187",20,2
"421189",34,7
"421190",2586,363
"421200",116,26
"421205",26,6
"421210",164,22
"421220",286,52
"421223",53,7
"421225",88,11
"421227",68,13
"421230",122,24
"421240",36,6
"421250",397,55
"421260",31,1
"421265",96,14
"421270",63,8
"421280",328,55
"421290",269,24
"421300",44,11
"421310",59,7
"421315",34,3
"421320",376,34
"421330",80,27
"421335",65,13
"421340",160,44
"421350",255,33
"421360",475,78
"421370",234,40
"421380",95,15
"421390",11,0
"421400",262,26
"421410",26,3
"421415",34,2
"421420",112,10
"421430",30,0
"421440",75,19
"421450",85,10
"421460",87,14
"421470",119,17
"421480",951,106
"421490",75,6
"421500",610,111
"421505",34,9
"421507",60,7
"421510",131,15
"421520",39,4
"421530",86,12
"421535",59,14
"421540",57,15
"421545",197,35
"421550",308,96
"421555",25,7
"421560",22,1
"421565",101,16
"421567",95,12
"421568",32,5
"421569",20,2
"421570",311,33
"421575",50,14
"421580",1154,153
"421590",26,3
"421600",111,10
"421605",74,17
"421610",130,23
"421620",666,122
"421625",67,1
"421630",465,66
"421635",64,6
"421640",81,9
"421650",368,80
"421660",3344,397
"421670",175,23
"421680",84,20
"421690",342,49
"421700",184,17
"421710",36,2
"421715",18,2
"421720",572,62
"421725",37,4
"421730",115,13
"421740",277,23
"421750",203,30
"421755",28,3
"421760",153,22
"421770",437,56
"421775",41,8
"421780",233,32
"421790",87,8
"421795",29,2
"421800",604,92
"421810",52,5
"421820",470,36
"421825",127,43
"421830",321,65
"421835",31,0
"421840",78,9
"421850",114,14
"421860",114,15
"421870",1325,148
"421875",54,4
"421880",155,16
"421885",29,4
"421890",115,23
"421895",26,5
"421900",190,16
"421910",59,12
"421915",33,2
"421917",75,20
"421920",81,8
"421930",817,105
"421935",64,11
"421940",50,3
"421950",733,132
"421960",27,5
"421970",416,62
"421985",27,4
"422000",180,38
