"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"MUNICIPIO",420005,"",""
2015,"MUNICIPIO",420010,"10.546",""
2015,"MUNICIPIO",420020,"8.049",""
2015,"MUNICIPIO",420030,"2.325",""
2015,"MUNICIPIO",420040,"3.801",""
2015,"MUNICIPIO",420050,"3.519",""
2015,"MUNICIPIO",420055,"1.131",""
2015,"MUNICIPIO",420060,"2.396",""
2015,"MUNICIPIO",420070,"3.098","9.850"
2015,"MUNICIPIO",420075,"850",""
2015,"MUNICIPIO",420080,"3.635",""
2015,"MUNICIPIO",420090,"909",""
2015,"MUNICIPIO",420100,"5.219",""
2015,"MUNICIPIO",420110,"1.380",""
2015,"MUNICIPIO",420120,"5.133",""
2015,"MUNICIPIO",420125,"7.453",""
2015,"MUNICIPIO",420127,"1.332",""
2015,"MUNICIPIO",420130,"20.271",""
2015,"MUNICIPIO",420140,"43.450",""
2015,"MUNICIPIO",420150,"4.209",""
2015,"MUNICIPIO",420160,"2.882",""
2015,"MUNICIPIO",420165,"650",""
2015,"MUNICIPIO",420170,"7.781",""
2015,"MUNICIPIO",420180,"1.476",""
2015,"MUNICIPIO",420190,"1.305",""
2015,"MUNICIPIO",420195,"11.380",""
2015,"MUNICIPIO",420205,"9.100",""
2015,"MUNICIPIO",420200,"116.661","104.994"
2015,"MUNICIPIO",420207,"6.086",""
2015,"MUNICIPIO",421280,"19.867",""
2015,"MUNICIPIO",422000,"11.515",""
2015,"MUNICIPIO",420208,"1.180",""
2015,"MUNICIPIO",420209,"397",""
2015,"MUNICIPIO",420210,"25.838",""
2015,"MUNICIPIO",420213,"1.148",""
2015,"MUNICIPIO",420215,"1.335",""
2015,"MUNICIPIO",420220,"4.580",""
2015,"MUNICIPIO",420230,"63.093",""
2015,"MUNICIPIO",420240,"338.415","106.676"
2015,"MUNICIPIO",420243,"1.201",""
2015,"MUNICIPIO",420245,"17.477","3.060"
2015,"MUNICIPIO",420250,"2.488",""
2015,"MUNICIPIO",420253,"1.782",""
2015,"MUNICIPIO",420257,"949",""
2015,"MUNICIPIO",420260,"7.048",""
2015,"MUNICIPIO",420270,"1.203",""
2015,"MUNICIPIO",420280,"22.392",""
2015,"MUNICIPIO",420285,"3.627",""
2015,"MUNICIPIO",420287,"2.639",""
2015,"MUNICIPIO",420290,"118.728",""
2015,"MUNICIPIO",420300,"63.062","3.339"
2015,"MUNICIPIO",420310,"4.036",""
2015,"MUNICIPIO",420315,"2.316",""
2015,"MUNICIPIO",420320,"72.261",""
2015,"MUNICIPIO",420330,"11.992",""
2015,"MUNICIPIO",420340,"5.051",""
2015,"MUNICIPIO",420350,"7.513",""
2015,"MUNICIPIO",420360,"33.948","25.067"
2015,"MUNICIPIO",420370,"9.230",""
2015,"MUNICIPIO",420380,"45.848",""
2015,"MUNICIPIO",420325,"1.162",""
2015,"MUNICIPIO",420390,"18.917","1.281"
2015,"MUNICIPIO",420395,"",""
2015,"MUNICIPIO",420400,"8.965","5.332"
2015,"MUNICIPIO",420410,"2.463",""
2015,"MUNICIPIO",420415,"1.311",""
2015,"MUNICIPIO",420417,"1.089",""
2015,"MUNICIPIO",420419,"369",""
2015,"MUNICIPIO",420420,"179.495","67.304"
2015,"MUNICIPIO",420425,"16.137",""
2015,"MUNICIPIO",420430,"63.525","3.741"
2015,"MUNICIPIO",420435,"3.200","930"
2015,"MUNICIPIO",420440,"6.111",""
2015,"MUNICIPIO",420445,"961","200"
2015,"MUNICIPIO",420455,"13.801",""
2015,"MUNICIPIO",420450,"12.833",""
2015,"MUNICIPIO",420460,"206.918","55.577"
2015,"MUNICIPIO",420470,"7.173",""
2015,"MUNICIPIO",420475,"753",""
2015,"MUNICIPIO",420480,"34.525",""
2015,"MUNICIPIO",420490,"3.871",""
2015,"MUNICIPIO",420500,"10.758","5.107"
2015,"MUNICIPIO",420510,"2.290",""
2015,"MUNICIPIO",420515,"2.572",""
2015,"MUNICIPIO",420517,"",""
2015,"MUNICIPIO",420519,"603",""
2015,"MUNICIPIO",420520,"3.516",""
2015,"MUNICIPIO",420530,"8.846","7.798"
2015,"MUNICIPIO",420535,"700",""
2015,"MUNICIPIO",420540,"469.690","270.045"
2015,"MUNICIPIO",420543,"1.304",""
2015,"MUNICIPIO",420545,"24.747",""
2015,"MUNICIPIO",420550,"29.028","4.968"
2015,"MUNICIPIO",420555,"",""
2015,"MUNICIPIO",420560,"2.226",""
2015,"MUNICIPIO",420570,"18.899",""
2015,"MUNICIPIO",420580,"",""
2015,"MUNICIPIO",420590,"61.918",""
2015,"MUNICIPIO",420600,"13.944",""
2015,"MUNICIPIO",420610,"3.019",""
2015,"MUNICIPIO",420620,"7.453","1.890"
2015,"MUNICIPIO",420630,"13.805",""
2015,"MUNICIPIO",420640,"5.518",""
2015,"MUNICIPIO",420650,"32.420",""
2015,"MUNICIPIO",420660,"3.777",""
2015,"MUNICIPIO",420665,"3.139",""
2015,"MUNICIPIO",420670,"20.121","13.533"
2015,"MUNICIPIO",420675,"835",""
2015,"MUNICIPIO",420680,"2.067",""
2015,"MUNICIPIO",420690,"16.718",""
2015,"MUNICIPIO",420700,"48.282",""
2015,"MUNICIPIO",420710,"9.837",""
2015,"MUNICIPIO",420720,"3.751",""
2015,"MUNICIPIO",420730,"43.168","1.923"
2015,"MUNICIPIO",420740,"2.355",""
2015,"MUNICIPIO",420750,"63.489",""
2015,"MUNICIPIO",420757,"1.203",""
2015,"MUNICIPIO",420760,"2.838",""
2015,"MUNICIPIO",420765,"5.091",""
2015,"MUNICIPIO",420768,"1.771",""
2015,"MUNICIPIO",420770,"4.330",""
2015,"MUNICIPIO",420775,"1.543",""
2015,"MUNICIPIO",420780,"7.720",""
2015,"MUNICIPIO",420785,"1.990",""
2015,"MUNICIPIO",420790,"4.081",""
2015,"MUNICIPIO",420800,"4.711",""
2015,"MUNICIPIO",420810,"13.328",""
2015,"MUNICIPIO",420820,"203.218","42.619"
2015,"MUNICIPIO",420830,"55.670","33.474"
2015,"MUNICIPIO",420840,"16.398","7.410"
2015,"MUNICIPIO",420845,"18.137",""
2015,"MUNICIPIO",420850,"18.126",""
2015,"MUNICIPIO",420860,"2.217",""
2015,"MUNICIPIO",420870,"4.900",""
2015,"MUNICIPIO",420880,"18.980",""
2015,"MUNICIPIO",420890,"160.460","91.691"
2015,"MUNICIPIO",420895,"1.083",""
2015,"MUNICIPIO",420900,"28.453","12.967"
2015,"MUNICIPIO",420910,"555.628","165.639"
2015,"MUNICIPIO",420915,"2.172",""
2015,"MUNICIPIO",420917,"1.239",""
2015,"MUNICIPIO",420920,"1.483",""
2015,"MUNICIPIO",420930,"154.987","48.088"
2015,"MUNICIPIO",420940,"44.650","12.101"
2015,"MUNICIPIO",420945,"1.216",""
2015,"MUNICIPIO",420950,"5.630",""
2015,"MUNICIPIO",420960,"8.899",""
2015,"MUNICIPIO",420970,"8.163",""
2015,"MUNICIPIO",420980,"809",""
2015,"MUNICIPIO",420985,"2.489",""
2015,"MUNICIPIO",420990,"8.767",""
2015,"MUNICIPIO",421000,"4.029",""
2015,"MUNICIPIO",421003,"5.142","3.884"
2015,"MUNICIPIO",421005,"654",""
2015,"MUNICIPIO",421010,"49.810",""
2015,"MUNICIPIO",421020,"987",""
2015,"MUNICIPIO",421030,"2.937",""
2015,"MUNICIPIO",421040,"4.597",""
2015,"MUNICIPIO",421050,"21.900",""
2015,"MUNICIPIO",421055,"952",""
2015,"MUNICIPIO",421060,"8.025",""
2015,"MUNICIPIO",421070,"1.632",""
2015,"MUNICIPIO",421080,"3.679",""
2015,"MUNICIPIO",421085,"1.105","1.159"
2015,"MUNICIPIO",421090,"3.036",""
2015,"MUNICIPIO",421100,"6.536",""
2015,"MUNICIPIO",421105,"8.300","471"
2015,"MUNICIPIO",421110,"5.574",""
2015,"MUNICIPIO",421120,"16.097",""
2015,"MUNICIPIO",421125,"1.200",""
2015,"MUNICIPIO",421130,"",""
2015,"MUNICIPIO",421140,"3.603",""
2015,"MUNICIPIO",421145,"1.556",""
2015,"MUNICIPIO",421150,"10.201",""
2015,"MUNICIPIO",421160,"11.099",""
2015,"MUNICIPIO",421165,"898",""
2015,"MUNICIPIO",421170,"20.700","17.774"
2015,"MUNICIPIO",421175,"16.947",""
2015,"MUNICIPIO",421180,"4.862",""
2015,"MUNICIPIO",421185,"1.043",""
2015,"MUNICIPIO",421187,"450",""
2015,"MUNICIPIO",421189,"1.101",""
2015,"MUNICIPIO",421190,"151.852","16.300"
2015,"MUNICIPIO",421200,"5.458",""
2015,"MUNICIPIO",421205,"1.220",""
2015,"MUNICIPIO",421210,"10.162",""
2015,"MUNICIPIO",421220,"10.359",""
2015,"MUNICIPIO",421223,"1.531",""
2015,"MUNICIPIO",421225,"5.061",""
2015,"MUNICIPIO",421227,"1.548",""
2015,"MUNICIPIO",421230,"4.515",""
2015,"MUNICIPIO",421240,"",""
2015,"MUNICIPIO",421250,"27.854",""
2015,"MUNICIPIO",421260,"1.847",""
2015,"MUNICIPIO",421265,"2.556",""
2015,"MUNICIPIO",421270,"2.230",""
2015,"MUNICIPIO",421290,"16.714",""
2015,"MUNICIPIO",421300,"2.321","854"
2015,"MUNICIPIO",421310,"4.295",""
2015,"MUNICIPIO",421315,"",""
2015,"MUNICIPIO",421320,"26.760","205"
2015,"MUNICIPIO",421330,"4.025",""
2015,"MUNICIPIO",421335,"3.045",""
2015,"MUNICIPIO",421340,"7.561",""
2015,"MUNICIPIO",421350,"18.495",""
2015,"MUNICIPIO",421360,"30.488","4.022"
2015,"MUNICIPIO",421370,"8.600",""
2015,"MUNICIPIO",421380,"4.500","1.500"
2015,"MUNICIPIO",421390,"740",""
2015,"MUNICIPIO",421400,"12.680",""
2015,"MUNICIPIO",421410,"842","2.300"
2015,"MUNICIPIO",421415,"1.389",""
2015,"MUNICIPIO",421420,"6.801","700"
2015,"MUNICIPIO",421430,"1.335","798"
2015,"MUNICIPIO",421440,"3.295",""
2015,"MUNICIPIO",421450,"3.848",""
2015,"MUNICIPIO",421460,"4.438",""
2015,"MUNICIPIO",421470,"6.138",""
2015,"MUNICIPIO",421480,"66.652",""
2015,"MUNICIPIO",421490,"1.934",""
2015,"MUNICIPIO",421500,"41.185","7.100"
